Library by Max Shvayuk

Author,Title
Howard Lovecraft,Cthulhu
Jules Werne,Around the World in 80 Days1
Jules Werne,Around the World in 80 Days2
Jules Werne,Around the World in 80 Days3
Jules Werne,Around the World in 80 Days4
Jules Werne,Around the World in 80 Days5
Jules Werne,Around the World in 80 Days6
Mark Twen,The Adventures of Tom Sawyer
Mark Twen,Adventures of Huckleberry Finn
Mark Twen,A Connecticut Yankee in King Arthur's Court
Mark Twen,The Gilded Age: A Tale of Today
Roman Svechnikov,Roma Yedet
Taras Shevchenko,Kobzar
